country,iso3,gdp_per_capita_usd_2020,gdp_per_capita_usd_2024,gdp_per_capita_usd_change,gdp_growth_pct_2020,gdp_growth_pct_2024,gdp_growth_pct_change,unemployment_pct_2020,unemployment_pct_2024,unemployment_pct_change,inflation_cpi_pct_2020,inflation_cpi_pct_2024,inflation_cpi_pct_change,gov_debt_pct_gdp_2020,gov_debt_pct_gdp_2024,gov_debt_pct_gdp_change,current_account_pct_gdp_2020,current_account_pct_gdp_2024,current_account_pct_gdp_change
Australia,AUS,51983.4523666382,64603.9856308464,12620.5332642082,-0.133531904304775,1.37340773365975,1.506939637964525,6.456,4.072,-2.3840000000000003,0.846905537459305,3.1616142830575,2.3147087455981947,69.0656538994855,,,1.86741781543883,-1.97811216711747,-3.8455299825563
Austria,AUT,48716.4098900349,58268.8787651601,9552.468875125203,,,,5.201,5.439,0.23800000000000043,1.38191063351862,2.93791574279383,1.5560051092752099,,,,3.3513779974929,1.53088550116276,-1.82049249633014
Belgium,BEL,45906.2875805246,56614.5679499036,10708.280369378997,-4.7929839083518,1.07045413019414,5.86343803854594,5.545,5.488,-0.056999999999999496,0.740791812220344,3.14349136500041,2.402699552780066,,,,0.903941469932536,-0.378788145846837,-1.282729615779373
Canada,CAN,43537.839298904,54340.3477224733,10802.5084235693,,,,9.657,6.45,-3.207,0.716999632307827,2.38158383281173,1.6645842005039029,74.5544073791525,64.9003074523507,-9.654099926801791,-2.01049352658992,-0.461253819279705,1.5492397073102149
Chile,CHL,13114.815470545,16709.8893972307,3595.0739266857017,-6.14347479224092,2.64431154871538,8.7877863409563,10.934,9.056,-1.8780000000000001,3.04549084804326,4.29763891572524,1.2521480676819796,,,,-1.94941123362021,-1.46933081175439,0.4800804218658201
Colombia,COL,5339.68711357943,7919.20886825345,2579.5217546740205,-7.18591413760859,1.5983315366523,8.78424567426089,15.983,9.608,-6.375,2.52663500084706,6.60908593728228,4.08245093643522,91.1566069420143,71.483126167997,-19.673480774017307,-3.42772945914236,-1.64274510323396,1.7849843559084
Costa Rica,CRI,12394.0493969492,18587.1532203482,6193.103823398998,-4.27335432161462,4.32122429646145,8.59457861807607,16.432,7.848,-8.584,0.724911478131376,-0.412853001047069,-1.1377644791784451,,,,-1.0451399398849,-1.30974019221641,-0.2646002523315101
Czechia,CZE,23472.8915454417,31823.3078290564,8350.4162836147,-5.30487955463876,1.23308611983484,6.5379656744736,2.55,2.506,-0.04400000000000004,3.16129528497801,2.43531202435314,-0.72598326062487,,,,1.7852008079583,1.74244358000018,-0.04275722795811987
Denmark,DNK,60985.4885601514,71026.4832271897,10040.9946670383,-1.78010601831291,3.47783593140312,5.25794194971603,5.637,5.587,-0.04999999999999982,0.420711974110115,1.37220049768918,0.9514885235790649,,,,7.31174171634934,12.2782622922388,4.96652057588946
Estonia,EST,23933.9939421065,31428.3547816104,7494.360839503901,-2.88380751483778,-0.0900428648493801,2.7937646499884,6.956,7.828,0.8719999999999999,-0.44453109767983,3.52056053296586,3.96509163064569,,,,-2.7306242700292,-1.25864024197608,1.47198402805312
Finland,FIN,48828.6846862799,53149.7671934051,4321.082507125204,-2.49103605535707,0.416171964862073,2.9072080202191426,7.759,8.26,0.5009999999999994,0.290554555653239,1.56568906231616,1.275134506662921,,,,0.529983303828095,-0.665363108803007,-1.195346412631102
France,FRA,39169.8606000707,46103.0840855884,6933.223485517701,-7.44064589948231,1.19046798275883,8.63111388224114,8.009,7.37,-0.6390000000000002,0.476498852725066,1.99904942291463,1.522550570189564,,,,-2.00313613657686,0.0851279883251641,2.0882641249020244
Germany,DEU,47394.8734504469,56103.7323182554,8708.8588678085,-4.13191443239947,-0.495851897260366,3.636062535139104,3.881,3.406,-0.47499999999999964,0.144877925813982,2.2564981433876,2.111620217573618,,,,6.34782686016016,5.77188467199732,-0.5759421881628404
Greece,GRC,,,,-9.19623149726978,2.0865743380603,11.28280583533008,15.899,10.133,-5.766,-1.24798355581405,2.74149045788606,3.98947401370011,,,,-6.4866420039279,-7.10950344070572,-0.6228614367778205
Hungary,HUN,16386.9308821258,23292.3263882478,6905.395506122,-4.33872540024058,0.560117843140432,4.8988432433810125,4.25,4.434,0.18400000000000016,3.32674385766738,3.70370370370369,0.37695984603631016,95.2231106008826,,,-1.03428088875148,1.58180029565553,2.61608118440701
Iceland,ISL,60127.9393575616,86040.5309851288,25912.591627567206,-6.64587816297836,-0.970676468918384,5.675201694059976,5.478,3.107,-2.3709999999999996,2.84792401518665,5.85683849970066,3.00891448451401,98.4737480726843,,,1.89912365465564,-2.60701511674342,-4.50613877139906
Ireland,IRL,86514.0706108754,112894.953240805,26380.882629929605,7.15369505735335,2.59946721553708,-4.554227841816271,5.623,4.369,-1.2540000000000004,-0.326183651280033,2.11344999577317,2.4396336470532027,,,,-6.72117635432936,17.3995604849009,24.12073683923026
Israel,ISR,44575.5719045492,54176.6844383302,9601.112533781,-2.02161548237589,0.871968424377442,2.893583906753332,4.169,3.15,-1.0189999999999997,-0.575254620897756,3.07480889805025,3.650063518948006,,,,3.74135443993414,2.86378146024895,-0.8775729796851901
