country,iso3,year,gdp_per_capita_usd,yearly_diff,yearly_pct_change
Australia,AUS,2020.0,51983.4523666382,,
Australia,AUS,2021.0,60758.9044397144,8775.45,16.88
Australia,AUS,2022.0,65169.5191118657,4410.61,7.26
Australia,AUS,2023.0,65058.3773146674,-111.14,-0.17
Australia,AUS,2024.0,64603.9856308464,-454.39,-0.7
Austria,AUT,2020.0,48716.4098900349,,
Austria,AUT,2021.0,53648.6437976214,4932.23,10.12
Austria,AUT,2022.0,52336.7725223758,-1311.87,-2.45
Austria,AUT,2023.0,56579.504175468,4242.73,8.11
Austria,AUT,2024.0,58268.8787651601,1689.37,2.99
Belgium,BEL,2020.0,45906.2875805246,,
Belgium,BEL,2021.0,51658.238294958,5751.95,12.53
Belgium,BEL,2022.0,50605.7496677086,-1052.49,-2.04
Belgium,BEL,2023.0,55291.4754541329,4685.73,9.26
Belgium,BEL,2024.0,56614.5679499036,1323.09,2.39
Canada,CAN,2020.0,43537.839298904,,
Canada,CAN,2021.0,52886.6616372703,9348.82,21.47
Canada,CAN,2022.0,56256.8007264015,3370.14,6.37
Canada,CAN,2023.0,54220.3285039875,-2036.47,-3.62
Canada,CAN,2024.0,54340.3477224733,120.02,0.22
Chile,CHL,2020.0,13114.815470545,,
Chile,CHL,2021.0,16206.8325493421,3092.02,23.58
Chile,CHL,2022.0,15405.6165774073,-801.22,-4.94
Chile,CHL,2023.0,17067.0364799154,1661.42,10.78
Chile,CHL,2024.0,16709.8893972307,-357.15,-2.09
Colombia,COL,2020.0,5339.68711357943,,
Colombia,COL,2021.0,6222.62164397614,882.93,16.54
Colombia,COL,2022.0,6680.44506854481,457.82,7.36
Colombia,COL,2023.0,7000.83660501046,320.39,4.8
Colombia,COL,2024.0,7919.20886825345,918.37,13.12
Costa Rica,CRI,2020.0,12394.0493969492,,
Costa Rica,CRI,2021.0,12838.1185358931,444.07,3.58
Costa Rica,CRI,2022.0,13625.9008491328,787.78,6.14
Costa Rica,CRI,2023.0,16942.0268119375,3316.13,24.34
Costa Rica,CRI,2024.0,18587.1532203482,1645.13,9.71
Czechia,CZE,2020.0,23472.8915454417,,
Czechia,CZE,2021.0,27696.4619527544,4223.57,17.99
Czechia,CZE,2022.0,28282.2236715857,585.76,2.11
Czechia,CZE,2023.0,31761.5944102491,3479.37,12.3
Czechia,CZE,2024.0,31823.3078290564,61.71,0.19
Denmark,DNK,2020.0,60985.4885601514,,
Denmark,DNK,2021.0,69340.7334922138,8355.24,13.7
Denmark,DNK,2022.0,67781.0940939514,-1559.64,-2.25
Denmark,DNK,2023.0,68043.5466971243,262.45,0.39
Denmark,DNK,2024.0,71026.4832271897,2982.94,4.38
Estonia,EST,2020.0,23933.9939421065,,
Estonia,EST,2021.0,27951.1659277744,4017.17,16.78
